LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
FIN,HOUSECOST,REAL,IDX2015,A,2013,102.1107468,
FIN,HOUSECOST,REAL,IDX2015,A,2014,100.4591537,
FIN,HOUSECOST,REAL,IDX2015,A,2015,100,
FIN,HOUSECOST,REAL,IDX2015,A,2016,100.194465,
FIN,HOUSECOST,REAL,IDX2015,A,2017,101.0407274,
FIN,HOUSECOST,REAL,IDX2015,A,2018,100.7438571,
FIN,HOUSECOST,REAL,IDX2015,A,2019,100.7812881,
FRA,HOUSECOST,REAL,IDX2015,A,2000,59.53965326,
FRA,HOUSECOST,REAL,IDX2015,A,2001,62.99794097,
FRA,HOUSECOST,REAL,IDX2015,A,2002,67.86365439,
FRA,HOUSECOST,REAL,IDX2015,A,2003,74.6614666,
FRA,HOUSECOST,REAL,IDX2015,A,2004,84.08245067,
FRA,HOUSECOST,REAL,IDX2015,A,2005,95.33495617,
FRA,HOUSECOST,REAL,IDX2015,A,2006,104.5578628,
FRA,HOUSECOST,REAL,IDX2015,A,2007,109.0786936,
FRA,HOUSECOST,REAL,IDX2015,A,2008,107.1413115,
FRA,HOUSECOST,REAL,IDX2015,A,2009,101.0144022,
FRA,HOUSECOST,REAL,IDX2015,A,2010,105.0128454,
FRA,HOUSECOST,REAL,IDX2015,A,2011,109.2492574,
FRA,HOUSECOST,REAL,IDX2015,A,2012,107.138438,
FRA,HOUSECOST,REAL,IDX2015,A,2013,104.2143221,
FRA,HOUSECOST,REAL,IDX2015,A,2014,102.2111619,
FRA,HOUSECOST,REAL,IDX2015,A,2015,100,
FRA,HOUSECOST,REAL,IDX2015,A,2016,100.6880182,
FRA,HOUSECOST,REAL,IDX2015,A,2017,102.8538301,
FRA,HOUSECOST,REAL,IDX2015,A,2018,104.5067342,
FRA,HOUSECOST,REAL,IDX2015,A,2019,106.7140218,
DEU,HOUSECOST,REAL,IDX2015,A,2000,102.7188798,
DEU,HOUSECOST,REAL,IDX2015,A,2001,100.6837345,
DEU,HOUSECOST,REAL,IDX2015,A,2002,98.10383665,
DEU,HOUSECOST,REAL,IDX2015,A,2003,97.04918433,
DEU,HOUSECOST,REAL,IDX2015,A,2004,94.49676991,
DEU,HOUSECOST,REAL,IDX2015,A,2005,94.64813343,
DEU,HOUSECOST,REAL,IDX2015,A,2006,93.07414207,
DEU,HOUSECOST,REAL,IDX2015,A,2007,89.41253637,
DEU,HOUSECOST,REAL,IDX2015,A,2008,88.88375869,
DEU,HOUSECOST,REAL,IDX2015,A,2009,89.54519983,
DEU,HOUSECOST,REAL,IDX2015,A,2010,88.99729648,
DEU,HOUSECOST,REAL,IDX2015,A,2011,90.49923356,
DEU,HOUSECOST,REAL,IDX2015,A,2012,92.32395161,
DEU,HOUSECOST,REAL,IDX2015,A,2013,93.92498203,
DEU,HOUSECOST,REAL,IDX2015,A,2014,96.00020557,
DEU,HOUSECOST,REAL,IDX2015,A,2015,100,
DEU,HOUSECOST,REAL,IDX2015,A,2016,106.788772,
DEU,HOUSECOST,REAL,IDX2015,A,2017,111.6563084,
DEU,HOUSECOST,REAL,IDX2015,A,2018,117.3565276,
DEU,HOUSECOST,REAL,IDX2015,A,2019,121.9372266,
GRC,HOUSECOST,REAL,IDX2015,A,2000,113.52473,
GRC,HOUSECOST,REAL,IDX2015,A,2001,127.8535344,
GRC,HOUSECOST,REAL,IDX2015,A,2002,142.4247102,
GRC,HOUSECOST,REAL,IDX2015,A,2003,146.4413513,
GRC,HOUSECOST,REAL,IDX2015,A,2004,145.0226098,
GRC,HOUSECOST,REAL,IDX2015,A,2005,156.1691046,
GRC,HOUSECOST,REAL,IDX2015,A,2006,170.923063,
GRC,HOUSECOST,REAL,IDX2015,A,2007,175.1747948,
GRC,HOUSECOST,REAL,IDX2015,A,2008,170.3276628,
GRC,HOUSECOST,REAL,IDX2015,A,2009,161.466529,
GRC,HOUSECOST,REAL,IDX2015,A,2010,148.9669461,
GRC,HOUSECOST,REAL,IDX2015,A,2011,137.6824467,
GRC,HOUSECOST,REAL,IDX2015,A,2012,120.9460822,
GRC,HOUSECOST,REAL,IDX2015,A,2013,109.7242662,
GRC,HOUSECOST,REAL,IDX2015,A,2014,103.5694068,
GRC,HOUSECOST,REAL,IDX2015,A,2015,100,
GRC,HOUSECOST,REAL,IDX2015,A,2016,98.35866229,
GRC,HOUSECOST,REAL,IDX2015,A,2017,96.74133364,
GRC,HOUSECOST,REAL,IDX2015,A,2018,98.17894886,
GRC,HOUSECOST,REAL,IDX2015,A,2019,104.8495535,
HUN,HOUSECOST,REAL,IDX2015,A,2007,128.795934,
HUN,HOUSECOST,REAL,IDX2015,A,2008,124.6901546,
HUN,HOUSECOST,REAL,IDX2015,A,2009,113.3839865,
HUN,HOUSECOST,REAL,IDX2015,A,2010,106.5501219,
HUN,HOUSECOST,REAL,IDX2015,A,2011,99.06581665,
HUN,HOUSECOST,REAL,IDX2015,A,2012,89.73611458,
HUN,HOUSECOST,REAL,IDX2015,A,2013,85.69493476,
HUN,HOUSECOST,REAL,IDX2015,A,2014,88.32531036,
HUN,HOUSECOST,REAL,IDX2015,A,2015,100,
HUN,HOUSECOST,REAL,IDX2015,A,2016,113.1055548,
HUN,HOUSECOST,REAL,IDX2015,A,2017,123.5842518,
HUN,HOUSECOST,REAL,IDX2015,A,2018,137.0754503,
HUN,HOUSECOST,REAL,IDX2015,A,2019,151.9200792,
ISL,HOUSECOST,REAL,IDX2015,A,2005,109.5194917,
ISL,HOUSECOST,REAL,IDX2015,A,2006,119.320608,
ISL,HOUSECOST,REAL,IDX2015,A,2007,124.5273892,
ISL,HOUSECOST,REAL,IDX2015,A,2008,115.5979889,
ISL,HOUSECOST,REAL,IDX2015,A,2009,90.33237798,
ISL,HOUSECOST,REAL,IDX2015,A,2010,84.2456523,
ISL,HOUSECOST,REAL,IDX2015,A,2011,84.98334751,
ISL,HOUSECOST,REAL,IDX2015,A,2012,85.80281531,
ISL,HOUSECOST,REAL,IDX2015,A,2013,87.50505565,
ISL,HOUSECOST,REAL,IDX2015,A,2014,92.67831116,
ISL,HOUSECOST,REAL,IDX2015,A,2015,100,
ISL,HOUSECOST,REAL,IDX2015,A,2016,109.1555185,
ISL,HOUSECOST,REAL,IDX2015,A,2017,132.2315226,
ISL,HOUSECOST,REAL,IDX2015,A,2018,138.9316541,
ISL,HOUSECOST,REAL,IDX2015,A,2019,139.0636355,
IRL,HOUSECOST,REAL,IDX2015,A,2000,96.77927413,
IRL,HOUSECOST,REAL,IDX2015,A,2001,104.6146523,
IRL,HOUSECOST,REAL,IDX2015,A,2002,106.3870994,
IRL,HOUSECOST,REAL,IDX2015,A,2003,116.8821969,
IRL,HOUSECOST,REAL,IDX2015,A,2004,127.2125742,
IRL,HOUSECOST,REAL,IDX2015,A,2005,136.5577161,
IRL,HOUSECOST,REAL,IDX2015,A,2006,152.9927768,
IRL,HOUSECOST,REAL,IDX2015,A,2007,159.5661883,
IRL,HOUSECOST,REAL,IDX2015,A,2008,145.6831726,
IRL,HOUSECOST,REAL,IDX2015,A,2009,126.1535125,
IRL,HOUSECOST,REAL,IDX2015,A,2010,111.5768412,
IRL,HOUSECOST,REAL,IDX2015,A,2011,91.64963436,
IRL,HOUSECOST,REAL,IDX2015,A,2012,78.00187807,
IRL,HOUSECOST,REAL,IDX2015,A,2013,78.16507534,
IRL,HOUSECOST,REAL,IDX2015,A,2014,90.23039572,
IRL,HOUSECOST,REAL,IDX2015,A,2015,100,
IRL,HOUSECOST,REAL,IDX2015,A,2016,106.9243055,
IRL,HOUSECOST,REAL,IDX2015,A,2017,117.6309802,
IRL,HOUSECOST,REAL,IDX2015,A,2018,127.4321415,
IRL,HOUSECOST,REAL,IDX2015,A,2019,127.5672728,
ITA,HOUSECOST,REAL,IDX2015,A,2000,93.38482134,
ITA,HOUSECOST,REAL,IDX2015,A,2001,98.5224906,
ITA,HOUSECOST,REAL,IDX2015,A,2002,104.8769957,
ITA,HOUSECOST,REAL,IDX2015,A,2003,112.22764,
ITA,HOUSECOST,REAL,IDX2015,A,2004,120.4459823,
ITA,HOUSECOST,REAL,IDX2015,A,2005,126.9983722,
ITA,HOUSECOST,REAL,IDX2015,A,2006,131.6336582,
ITA,HOUSECOST,REAL,IDX2015,A,2007,135.3885842,
ITA,HOUSECOST,REAL,IDX2015,A,2008,133.4096765,
ITA,HOUSECOST,REAL,IDX2015,A,2009,129.2391941,
ITA,HOUSECOST,REAL,IDX2015,A,2010,126.6322788,
ITA,HOUSECOST,REAL,IDX2015,A,2011,124.7059436,
ITA,HOUSECOST,REAL,IDX2015,A,2012,118.4261772,
ITA,HOUSECOST,REAL,IDX2015,A,2013,109.5365783,
ITA,HOUSECOST,REAL,IDX2015,A,2014,104.1095453,
ITA,HOUSECOST,REAL,IDX2015,A,2015,100,
ITA,HOUSECOST,REAL,IDX2015,A,2016,100.142064,
ITA,HOUSECOST,REAL,IDX2015,A,2017,98.01882302,
ITA,HOUSECOST,REAL,IDX2015,A,2018,96.59200605,
ITA,HOUSECOST,REAL,IDX2015,A,2019,96.01867786,
JPN,HOUSECOST,REAL,IDX2015,A,2000,126.9916728,
JPN,HOUSECOST,REAL,IDX2015,A,2001,122.6940979,
JPN,HOUSECOST,REAL,IDX2015,A,2002,117.79446,
JPN,HOUSECOST,REAL,IDX2015,A,2003,111.6654106,
JPN,HOUSECOST,REAL,IDX2015,A,2004,105.4535581,
JPN,HOUSECOST,REAL,IDX2015,A,2005,100.7649736,
JPN,HOUSECOST,REAL,IDX2015,A,2006,97.8026891,
JPN,HOUSECOST,REAL,IDX2015,A,2007,97.2085932,
JPN,HOUSECOST,REAL,IDX2015,A,2008,97.21689117,
JPN,HOUSECOST,REAL,IDX2015,A,2009,93.67171925,
JPN,HOUSECOST,REAL,IDX2015,A,2010,96.41490215,
JPN,HOUSECOST,REAL,IDX2015,A,2011,97.02157526,
JPN,HOUSECOST,REAL,IDX2015,A,2012,96.76657581,
JPN,HOUSECOST,REAL,IDX2015,A,2013,98.49866701,
JPN,HOUSECOST,REAL,IDX2015,A,2014,98.03779473,
JPN,HOUSECOST,REAL,IDX2015,A,2015,100,
JPN,HOUSECOST,REAL,IDX2015,A,2016,102.7624244,
JPN,HOUSECOST,REAL,IDX2015,A,2017,105.2173687,
JPN,HOUSECOST,REAL,IDX2015,A,2018,106.6314104,
JPN,HOUSECOST,REAL,IDX2015,A,2019,108.0796093,
KOR,HOUSECOST,REAL,IDX2015,A,2000,75.40327848,
KOR,HOUSECOST,REAL,IDX2015,A,2001,75.16293825,
KOR,HOUSECOST,REAL,IDX2015,A,2002,84.99647023,
KOR,HOUSECOST,REAL,IDX2015,A,2003,89.78056647,
KOR,HOUSECOST,REAL,IDX2015,A,2004,87.67929437,
KOR,HOUSECOST,REAL,IDX2015,A,2005,86.75286194,
KOR,HOUSECOST,REAL,IDX2015,A,2006,91.19645331,
KOR,HOUSECOST,REAL,IDX2015,A,2007,98.50453453,
KOR,HOUSECOST,REAL,IDX2015,A,2008,101.0658792,
KOR,HOUSECOST,REAL,IDX2015,A,2009,99.51638313,
KOR,HOUSECOST,REAL,IDX2015,A,2010,99.12886023,
KOR,HOUSECOST,REAL,IDX2015,A,2011,100.3957323,
KOR,HOUSECOST,REAL,IDX2015,A,2012,99.51797752,
KOR,HOUSECOST,REAL,IDX2015,A,2013,97.54094898,
KOR,HOUSECOST,REAL,IDX2015,A,2014,98.13705016,
KOR,HOUSECOST,REAL,IDX2015,A,2015,100,
KOR,HOUSECOST,REAL,IDX2015,A,2016,100.5144112,
KOR,HOUSECOST,REAL,IDX2015,A,2017,100.0063823,
KOR,HOUSECOST,REAL,IDX2015,A,2018,100.1489346,
KOR,HOUSECOST,REAL,IDX2015,A,2019,99.41152206,
LUX,HOUSECOST,REAL,IDX2015,A,2007,83.07010849,
LUX,HOUSECOST,REAL,IDX2015,A,2008,83.24752769,
LUX,HOUSECOST,REAL,IDX2015,A,2009,82.70748545,
LUX,HOUSECOST,REAL,IDX2015,A,2010,86.12987375,
LUX,HOUSECOST,REAL,IDX2015,A,2011,86.68185146,
LUX,HOUSECOST,REAL,IDX2015,A,2012,88.5377775,
LUX,HOUSECOST,REAL,IDX2015,A,2013,91.43860235,
LUX,HOUSECOST,REAL,IDX2015,A,2014,94.98020772,
LUX,HOUSECOST,REAL,IDX2015,A,2015,100,
LUX,HOUSECOST,REAL,IDX2015,A,2016,105.672777,
LUX,HOUSECOST,REAL,IDX2015,A,2017,109.6002653,
LUX,HOUSECOST,REAL,IDX2015,A,2018,114.8816576,
LUX,HOUSECOST,REAL,IDX2015,A,2019,124.1870523,
MEX,HOUSECOST,REAL,IDX2015,A,2005,91.35584072,
MEX,HOUSECOST,REAL,IDX2015,A,2006,93.18070082,
MEX,HOUSECOST,REAL,IDX2015,A,2007,95.19136243,
MEX,HOUSECOST,REAL,IDX2015,A,2008,95.72008079,
MEX,HOUSECOST,REAL,IDX2015,A,2009,97.55741086,
MEX,HOUSECOST,REAL,IDX2015,A,2010,95.36602614,
MEX,HOUSECOST,REAL,IDX2015,A,2011,95.83191408,
MEX,HOUSECOST,REAL,IDX2015,A,2012,93.94097946,
MEX,HOUSECOST,REAL,IDX2015,A,2013,95.07218157,
MEX,HOUSECOST,REAL,IDX2015,A,2014,95.14411931,
MEX,HOUSECOST,REAL,IDX2015,A,2015,100,
MEX,HOUSECOST,REAL,IDX2015,A,2016,102.6785459,
MEX,HOUSECOST,REAL,IDX2015,A,2017,105.3463203,
MEX,HOUSECOST,REAL,IDX2015,A,2018,110.2795324,
MEX,HOUSECOST,REAL,IDX2015,A,2019,115.662941,
NLD,HOUSECOST,REAL,IDX2015,A,2000,103.1620326,
NLD,HOUSECOST,REAL,IDX2015,A,2001,111.0387192,
NLD,HOUSECOST,REAL,IDX2015,A,2002,114.2975185,
NLD,HOUSECOST,REAL,IDX2015,A,2003,115.7229869,
NLD,HOUSECOST,REAL,IDX2015,A,2004,119.0624956,
NLD,HOUSECOST,REAL,IDX2015,A,2005,121.396199,
NLD,HOUSECOST,REAL,IDX2015,A,2006,123.2187894,
NLD,HOUSECOST,REAL,IDX2015,A,2007,126.5883879,
NLD,HOUSECOST,REAL,IDX2015,A,2008,126.7318368,
NLD,HOUSECOST,REAL,IDX2015,A,2009,122.9231058,
NLD,HOUSECOST,REAL,IDX2015,A,2010,118.8503262,
NLD,HOUSECOST,REAL,IDX2015,A,2011,114.080529,
NLD,HOUSECOST,REAL,IDX2015,A,2012,105.0712755,
NLD,HOUSECOST,REAL,IDX2015,A,2013,96.74942669,
NLD,HOUSECOST,REAL,IDX2015,A,2014,96.69006416,
NLD,HOUSECOST,REAL,IDX2015,A,2015,100,
NLD,HOUSECOST,REAL,IDX2015,A,2016,104.4178682,
NLD,HOUSECOST,REAL,IDX2015,A,2017,110.7736788,
NLD,HOUSECOST,REAL,IDX2015,A,2018,118.8682681,
NLD,HOUSECOST,REAL,IDX2015,A,2019,124.4229064,
NZL,HOUSECOST,REAL,IDX2015,A,2000,44.48894405,
NZL,HOUSECOST,REAL,IDX2015,A,2001,44.34494966,
NZL,HOUSECOST,REAL,IDX2015,A,2002,47.90455914,
NZL,HOUSECOST,REAL,IDX2015,A,2003,57.00572847,
NZL,HOUSECOST,REAL,IDX2015,A,2004,66.36430646,
NZL,HOUSECOST,REAL,IDX2015,A,2005,73.91650589,
NZL,HOUSECOST,REAL,IDX2015,A,2006,79.35227318,
NZL,HOUSECOST,REAL,IDX2015,A,2007,86.60909163,
NZL,HOUSECOST,REAL,IDX2015,A,2008,79.82381333,
NZL,HOUSECOST,REAL,IDX2015,A,2009,76.49338259,
NZL,HOUSECOST,REAL,IDX2015,A,2010,77.04247949,
NZL,HOUSECOST,REAL,IDX2015,A,2011,75.78257561,
NZL,HOUSECOST,REAL,IDX2015,A,2012,78.72940741,
NZL,HOUSECOST,REAL,IDX2015,A,2013,85.33328405,
NZL,HOUSECOST,REAL,IDX2015,A,2014,90.11901472,
NZL,HOUSECOST,REAL,IDX2015,A,2015,100,
NZL,HOUSECOST,REAL,IDX2015,A,2016,112.8628617,
NZL,HOUSECOST,REAL,IDX2015,A,2017,118.623092,
NZL,HOUSECOST,REAL,IDX2015,A,2018,121.3161713,
NOR,HOUSECOST,REAL,IDX2015,A,2000,53.44315022,
NOR,HOUSECOST,REAL,IDX2015,A,2001,55.90245595,
NOR,HOUSECOST,REAL,IDX2015,A,2002,57.89634673,
NOR,HOUSECOST,REAL,IDX2015,A,2003,57.22850112,
NOR,HOUSECOST,REAL,IDX2015,A,2004,62.31124847,
NOR,HOUSECOST,REAL,IDX2015,A,2005,66.69225003,
NOR,HOUSECOST,REAL,IDX2015,A,2006,74.45958349,
NOR,HOUSECOST,REAL,IDX2015,A,2007,82.77637748,
NOR,HOUSECOST,REAL,IDX2015,A,2008,79.16650909,
NOR,HOUSECOST,REAL,IDX2015,A,2009,78.69336212,
NOR,HOUSECOST,REAL,IDX2015,A,2010,83.42839373,
NOR,HOUSECOST,REAL,IDX2015,A,2011,89.12083033,
NOR,HOUSECOST,REAL,IDX2015,A,2012,94.17873768,
NOR,HOUSECOST,REAL,IDX2015,A,2013,96.01944578,
NOR,HOUSECOST,REAL,IDX2015,A,2014,96.4474708,
NOR,HOUSECOST,REAL,IDX2015,A,2015,100,
NOR,HOUSECOST,REAL,IDX2015,A,2016,103.8261069,
NOR,HOUSECOST,REAL,IDX2015,A,2017,106.8953976,
NOR,HOUSECOST,REAL,IDX2015,A,2018,106.0772253,
NOR,HOUSECOST,REAL,IDX2015,A,2019,106.3331978,
POL,HOUSECOST,REAL,IDX2015,A,2010,113.5281429,
POL,HOUSECOST,REAL,IDX2015,A,2011,108.2896173,
POL,HOUSECOST,REAL,IDX2015,A,2012,101.1368482,
POL,HOUSECOST,REAL,IDX2015,A,2013,96.31555367,
POL,HOUSECOST,REAL,IDX2015,A,2014,97.38513532,
POL,HOUSECOST,REAL,IDX2015,A,2015,100,
POL,HOUSECOST,REAL,IDX2015,A,2016,102.2833398,
POL,HOUSECOST,REAL,IDX2015,A,2017,104.1212248,
POL,HOUSECOST,REAL,IDX2015,A,2018,109.2822095,
POL,HOUSECOST,REAL,IDX2015,A,2019,116.4871295,
PRT,HOUSECOST,REAL,IDX2015,A,2000,137.4190125,
PRT,HOUSECOST,REAL,IDX2015,A,2001,139.5528365,
PRT,HOUSECOST,REAL,IDX2015,A,2002,135.6993925,
PRT,HOUSECOST,REAL,IDX2015,A,2003,132.4211476,
PRT,HOUSECOST,REAL,IDX2015,A,2004,130.2252377,
PRT,HOUSECOST,REAL,IDX2015,A,2005,128.2541189,
PRT,HOUSECOST,REAL,IDX2015,A,2006,126.4919911,
PRT,HOUSECOST,REAL,IDX2015,A,2007,122.9271636,
PRT,HOUSECOST,REAL,IDX2015,A,2008,112.0325756,
PRT,HOUSECOST,REAL,IDX2015,A,2009,114.481582,
PRT,HOUSECOST,REAL,IDX2015,A,2010,113.282916,
PRT,HOUSECOST,REAL,IDX2015,A,2011,105.9155657,
PRT,HOUSECOST,REAL,IDX2015,A,2012,96.66915566,
PRT,HOUSECOST,REAL,IDX2015,A,2013,94.11819476,
PRT,HOUSECOST,REAL,IDX2015,A,2014,97.89533199,
